method,attack,byzantine_frac,seed,rho,num_clients,cohort_size,num_cohorts,n_byzantine,pct_cohorts_majority_byz,max_cohort_byz_frac,final_test_acc,final_test_loss,history,f1,precision,recall,auc,posterior_gap,run_seconds,error
nodef,label_flip,0.100000,11,0.300000,100,10,30,10,0.000000,0.300000,0.225900,2.073082,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.578914617919922, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 10, ""test_acc"": 0.1555, ""test_loss"": 2.25079475402832, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 20, ""test_acc"": 0.1437, ""test_loss"": 2.230698050689697, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 30, ""test_acc"": 0.1691, ""test_loss"": 2.0997509454727172, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 40, ""test_acc"": 0.2681, ""test_loss"": 1.922636050415039, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 50, ""test_acc"": 0.2306, ""test_loss"": 2.0629549602508543, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 59, ""test_acc"": 0.2259, ""test_loss"": 2.0730818031311036, ""n_kept"": 30, ""n_filtered"": 0}]",nan,nan,nan,nan,nan,1939.859410,
nodef,label_flip,0.100000,23,0.300000,100,10,30,10,0.000000,0.200000,0.157300,2.365621,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.691768569946289, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 10, ""test_acc"": 0.1098, ""test_loss"": 2.397001182937622, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 20, ""test_acc"": 0.1638, ""test_loss"": 2.291950428009033, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 30, ""test_acc"": 0.1989, ""test_loss"": 2.180601403808594, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 40, ""test_acc"": 0.1307, ""test_loss"": 2.3526847055435183, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 50, ""test_acc"": 0.2213, ""test_loss"": 2.034010317993164, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 59, ""test_acc"": 0.1573, ""test_loss"": 2.365621478843689, ""n_kept"": 30, ""n_filtered"": 0}]",nan,nan,nan,nan,nan,1934.784369,
ours,gaussian,0.100000,11,0.300000,100,10,30,10,0.000000,0.300000,0.238900,1.990855,"[{""round"": 0, ""test_acc"": 0.1064, ""test_loss"": 2.392690100860596, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 10, ""test_acc"": 0.1411, ""test_loss"": 2.219588121032715, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 20, ""test_acc"": 0.2438, ""test_loss"": 2.0560718719482423, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 30, ""test_acc"": 0.1903, ""test_loss"": 2.1018900255203246, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 40, ""test_acc"": 0.2481, ""test_loss"": 2.006135817718506, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 50, ""test_acc"": 0.2264, ""test_loss"": 1.9857869443893432, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 59, ""test_acc"": 0.2389, ""test_loss"": 1.990855368423462, ""n_kept"": 27, ""n_filtered"": 3}]",0.000000,0.000000,0.000000,0.094444,-0.179937,1920.352357,
ours,gaussian,0.100000,23,0.300000,100,10,30,10,0.000000,0.200000,0.244300,1.987610,"[{""round"": 0, ""test_acc"": 0.1002, ""test_loss"": 2.4828679008483885, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 10, ""test_acc"": 0.1742, ""test_loss"": 2.183062035369873, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 20, ""test_acc"": 0.2028, ""test_loss"": 2.0807656064987183, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 30, ""test_acc"": 0.1937, ""test_loss"": 2.049067010688782, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 40, ""test_acc"": 0.2308, ""test_loss"": 2.0162023077011106, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 50, ""test_acc"": 0.2314, ""test_loss"": 2.0180212789535523, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 59, ""test_acc"": 0.2443, ""test_loss"": 1.9876104639053345, ""n_kept"": 27, ""n_filtered"": 3}]",0.000000,0.000000,0.000000,0.204444,-0.152484,1940.019786,
nodef,gaussian,0.100000,11,0.300000,100,10,30,10,0.000000,0.300000,0.247700,1.957263,"[{""round"": 0, ""test_acc"": 0.0993, ""test_loss"": 2.38073917388916, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 10, ""test_acc"": 0.1515, ""test_loss"": 2.2024343757629397, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 20, ""test_acc"": 0.2501, ""test_loss"": 2.0368466621398924, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 30, ""test_acc"": 0.2303, ""test_loss"": 2.0479745594024656, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 40, ""test_acc"": 0.2459, ""test_loss"": 1.998224670791626, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 50, ""test_acc"": 0.2181, ""test_loss"": 1.9821445644378661, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 59, ""test_acc"": 0.2477, ""test_loss"": 1.9572629344940184, ""n_kept"": 30, ""n_filtered"": 0}]",nan,nan,nan,nan,nan,1928.509883,
nodef,gaussian,0.100000,23,0.300000,100,10,30,10,0.000000,0.200000,0.243800,1.988084,"[{""round"": 0, ""test_acc"": 0.1005, ""test_loss"": 2.493115128326416, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 10, ""test_acc"": 0.1566, ""test_loss"": 2.17861686630249, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 20, ""test_acc"": 0.1933, ""test_loss"": 2.090017331314087, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 30, ""test_acc"": 0.1975, ""test_loss"": 2.0505949142456052, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 40, ""test_acc"": 0.2375, ""test_loss"": 2.007084100341797, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 50, ""test_acc"": 0.2268, ""test_loss"": 2.0091948442459104, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 59, ""test_acc"": 0.2438, ""test_loss"": 1.988084029006958, ""n_kept"": 30, ""n_filtered"": 0}]",nan,nan,nan,nan,nan,1934.299365,
ours,sign_flip,0.200000,11,0.300000,100,10,30,20,0.000000,0.400000,0.262000,1.987794,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.5101135719299315, ""n_kept"": 24, ""n_filtered"": 6}, {""round"": 10, ""test_acc"": 0.139, ""test_loss"": 2.2247743213653566, ""n_kept"": 24, ""n_filtered"": 6}, {""round"": 20, ""test_acc"": 0.1914, ""test_loss"": 2.043113747406006, ""n_kept"": 24, ""n_filtered"": 6}, {""round"": 30, ""test_acc"": 0.244, ""test_loss"": 2.054589446258545, ""n_kept"": 24, ""n_filtered"": 6}, {""round"": 40, ""test_acc"": 0.2353, ""test_loss"": 2.0053754232406615, ""n_kept"": 24, ""n_filtered"": 6}, {""round"": 50, ""test_acc"": 0.2738, ""test_loss"": 1.9261826984405517, ""n_kept"": 24, ""n_filtered"": 6}, {""round"": 59, ""test_acc"": 0.262, ""test_loss"": 1.9877936763763429, ""n_kept"": 24, ""n_filtered"": 6}]",0.350000,0.350000,0.350000,0.739688,0.083489,1931.164777,
ours,sign_flip,0.200000,23,0.300000,100,10,30,20,0.000000,0.400000,0.234900,2.326175,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.6449945060729982, ""n_kept"": 24, ""n_filtered"": 6}, {""round"": 10, ""test_acc"": 0.1441, ""test_loss"": 2.633646912765503, ""n_kept"": 24, ""n_filtered"": 6}, {""round"": 20, ""test_acc"": 0.1645, ""test_loss"": 2.5211670593261717, ""n_kept"": 24, ""n_filtered"": 6}, {""round"": 30, ""test_acc"": 0.214, ""test_loss"": 2.379022452545166, ""n_kept"": 24, ""n_filtered"": 6}, {""round"": 40, ""test_acc"": 0.1692, ""test_loss"": 2.572238554382324, ""n_kept"": 24, ""n_filtered"": 6}, {""round"": 50, ""test_acc"": 0.2301, ""test_loss"": 2.3149965923309326, ""n_kept"": 24, ""n_filtered"": 6}, {""round"": 59, ""test_acc"": 0.2349, ""test_loss"": 2.3261751628875733, ""n_kept"": 24, ""n_filtered"": 6}]",0.550000,0.550000,0.550000,0.734063,0.089345,1933.603581,
nodef,sign_flip,0.200000,11,0.300000,100,10,30,20,0.000000,0.400000,0.255800,2.014374,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.570456827545166, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 10, ""test_acc"": 0.2252, ""test_loss"": 2.1540121395111083, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 20, ""test_acc"": 0.1626, ""test_loss"": 2.230874962234497, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 30, ""test_acc"": 0.221, ""test_loss"": 2.1243305244445803, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 40, ""test_acc"": 0.1957, ""test_loss"": 2.0529109966278076, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 50, ""test_acc"": 0.2052, ""test_loss"": 2.1118496589660642, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 59, ""test_acc"": 0.2558, ""test_loss"": 2.01437438621521, ""n_kept"": 30, ""n_filtered"": 0}]",nan,nan,nan,nan,nan,1913.330854,
nodef,sign_flip,0.200000,23,0.300000,100,10,30,20,0.000000,0.400000,0.216400,2.695691,"[{""round"": 0, ""test_acc"": 0.0995, ""test_loss"": 2.6433680068969725, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 10, ""test_acc"": 0.1853, ""test_loss"": 2.541875784301758, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 20, ""test_acc"": 0.2043, ""test_loss"": 2.4980681102752684, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 30, ""test_acc"": 0.1711, ""test_loss"": 2.698689306640625, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 40, ""test_acc"": 0.2032, ""test_loss"": 2.5545446811676027, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 50, ""test_acc"": 0.2037, ""test_loss"": 2.7162471256256104, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 59, ""test_acc"": 0.2164, ""test_loss"": 2.695690669631958, ""n_kept"": 30, ""n_filtered"": 0}]",nan,nan,nan,nan,nan,1915.130347,
